text@ipy1987m	@ipy1987m	172.493	172.922	огонь
text@ipy1987m	@ipy1987m	172.967	173.615	наверняка
text@ipy1987m	@ipy1987m	173.95	175.405	это же / дьявольская штука
text@ipy1987m	@ipy1987m	180.106	180.426	да
text@ipy1987m	@ipy1987m	180.749	181.055	возможно
text@ipy1987m	@ipy1987m	181.446	181.738	возможно
text@ipy1987m	@ipy1987m	181.987	185.464	а у меня есть любимая картинка про то как люди игнорировали друг друга до социальных сетей / да
text@ipy1987m	@ipy1987m	185.616	189.576	такая картинка конца в... девятнадцатого века где / семья за завтраком и никто ни с кем не разговаривает
text@ipy1987m	@ipy1987m	190.256	190.575	эээ
text@ipy1987m	@ipy1987m	191.245	191.977	люди
text@ipy1987m	@ipy1987m	192.267	198.89	каждый / человек социален в меру / св... / своих способностей / и надо понимать что может быть люди очень много разговаривали в средние века но в основном с пятью людьми
text@ipy1987m	@ipy1987m	199.509	203.905	со своим пастором / со своей женой и / с тремя выжившими детьми из восемнадцати которые родились
text@ipy1987m	@ipy1987m	204.133	204.601	э... а...
text@ipy1987m	@ipy1987m	204.607	205.572	условно говоря
text@ipy1987m	@ipy1987m	205.598	206.107	и
text@ipy1987m	@ipy1987m	206.133	206.678	эээ
text@ipy1987m	@ipy1987m	206.678	211.123	сейчас они может быть меньше разговаривают но зато у них есть возможность поговорить с тысячами людей / и послушать
text@ipy1987m	@ipy1987m	211.401	214.169	 или там вот / история про то что люди стали меньше читать больше читать
text@ipy1987m	@ipy1987m	214.212	217.85	вот / не очень понятно / вот то что вы... мы читаем в социальных сетях это хорошо или плохо?
text@ipy1987m	@ipy1987m	217.969	218.425	эээ
text@ipy1987m	@ipy1987m	218.496	218.846	хм
text@ipy1987m	@ipy1987m	218.993	223.23	или / или то что у нас доступ там / к / новым медиа и / я не знаю / там / анф...
text@ipy1987m	@ipy1987m	223.412	225.424	все / все люди читают что-то онлайн и так далее
text@ipy1987m	@ipy1987m	225.847	226.139	эээ
text@ipy1987m	@ipy1987m	226.233	228.28	мне кажется / что / человек / очень гибкое
text@ipy1987m	@ipy1987m	228.302	230.04	эээ
text@ipy1987m	@ipy1987m	230.047	233.226	на... наш мозг / это очень гибкая структура / она ко многим вещам может адаптироваться
